,course_title,start_date,students_number
358,UX-дизайн,2018-09-01,238
359,UX-дизайн,2018-10-01,203
360,UX-дизайн,2018-11-01,175
361,UX-дизайн,2018-12-01,244
362,UX-дизайн,2019-01-01,231
363,UX-дизайн,2019-02-01,174
364,UX-дизайн,2019-03-01,180
365,UX-дизайн,2019-04-01,148
366,UX-дизайн,2019-05-01,148
367,UX-дизайн,2019-06-01,165
368,UX-дизайн,2019-07-01,137
369,Интернет-маркетолог от Ingate,2016-03-01,0
370,Интернет-маркетолог от Ingate,2016-04-01,0
371,Интернет-маркетолог от Ingate,2016-05-01,0
372,Интернет-маркетолог от Ingate,2016-06-01,0
373,Интернет-маркетолог от Ingate,2016-07-01,0
374,Интернет-маркетолог от Ingate,2016-08-01,0
375,Интернет-маркетолог от Ingate,2016-09-01,0
376,Интернет-маркетолог от Ingate,2016-10-01,0
377,Интернет-маркетолог от Ingate,2016-11-01,0
378,Интернет-маркетолог от Ingate,2016-12-01,0
379,Интернет-маркетолог от Ingate,2017-01-01,0
380,Интернет-маркетолог от Ingate,2017-02-01,0
381,Интернет-маркетолог от Ingate,2017-03-01,0
382,Интернет-маркетолог от Ingate,2017-04-01,0
383,Интернет-маркетолог от Ingate,2017-05-01,0
384,Интернет-маркетолог от Ingate,2017-06-01,0
385,Интернет-маркетолог от Ingate,2017-07-01,0
386,Интернет-маркетолог от Ingate,2017-08-01,1
387,Интернет-маркетолог от Ingate,2017-09-01,1
388,Интернет-маркетолог от Ingate,2017-10-01,1
389,Интернет-маркетолог от Ingate,2017-11-01,1
390,Интернет-маркетолог от Ingate,2017-12-01,2
391,Интернет-маркетолог от Ingate,2018-01-01,43
392,Интернет-маркетолог от Ingate,2018-02-01,127
393,Интернет-маркетолог от Ingate,2018-03-01,211
394,Интернет-маркетолог от Ingate,2018-04-01,211
395,Интернет-маркетолог от Ingate,2018-05-01,250
396,Интернет-маркетолог от Ingate,2018-06-01,264
397,Интернет-маркетолог от Ingate,2018-07-01,288
398,Интернет-маркетолог от Ingate,2018-08-01,338
399,Интернет-маркетолог от Ingate,2018-09-01,357
400,Интернет-маркетолог от Ingate,2018-10-01,376
401,Интернет-маркетолог от Ingate,2018-11-01,383
402,Интернет-маркетолог от Ingate,2018-12-01,472
